full_text,positive_score,negative_score,booster_score,negation_score,policy_score,confidence,suggestion,need_review,positive_words,negative_words,booster_words,negation_words,policy_words,final_label
pernah baca argumen bahwa korupsi adalah pelumas ekonomi grease the wheels gagasan ini berangkat dari asumsi bahwa ketika birokrasi lambat dan regulasi berbelit suap mempercepat proses sehingga investasi dan bisnis tetap berjalan namun puluhan tahun penelitian empiris,6.0,5.0,0,0,2,0.7143,positive,False,"baca, lambat, suap, proses, bisnis, tetap","argumen, korupsi, berangkat, dari, asumsi",,,"korupsi, ekonomi",
duit buat naikin gaji hakim ada naikin gaji pejabat ada tunjangan dpr ada dana buat mbg ada dana buat kopdes ada bikin danantara ada lanjut ikn ada penyertaan modal bumn ada program sekolah rakyat ada belanja alutsista ada,19.0,2.0,0,0,3,1.0,positive,False,"buat, ada, ada, ada, dana, buat, ada, dana, buat, ada, ada, lanjut, ada, modal, ada, sekolah, ada, belanja, ada","pejabat, tunjangan",,,"dpr, danantara, ikn",
mbok ya nyadar diri kalau kalian itu digaji pake uang pajak rakyat ojo karepmu dewe ae ndasmu,1.0,4.0,0,0,1,0.9935,negative,False,ya,"diri, kalau, itu, pajak",,,pajak,
dosa dosa prabowo menurut mahfud md dkk hari pertama dilantik langsung langgar uu tni lantik teman jadi seskap bukan pelanggarannya dikoreksi tapi uu tni nya yang diubah menyesuaikan keinginan orang baik jadi presiden di indonesia hancur lebur orang jahat yang,8.0,7.0,0,1,1,0.6937,positive,False,"menurut, langsung, lantik, jadi, keinginan, baik, jadi, presiden","dosa, dosa, yang, hancur, lebur, jahat, yang",,bukan,presiden,
pakar ekonom kasih kritik sesuai data malah dibilang jangan bikin panik masyarakat kalo masyarakat panik nanti ekonomi ancur artinya data dan situasi ekonomi saat ini benar sehingga loyalis pemerintah ini tidak bisa kasih argumen balik sesuai data,5.0,10.0,0,2,2,1.0,negative,False,"kasih, sesuai, benar, kasih, sesuai","pakar, kritik, data, panik, panik, nanti, data, argumen, balik, data",,"jangan, tidak","ekonomi, ekonomi",
titik terendah presiden di nasehati anak kecil jangan bilang yang kasar hati hati mulutnya ya,4.0,5.0,0,1,1,0.75,negative,False,"presiden, hati, hati, ya","titik, anak, kecil, yang, kasar",,jangan,presiden,
ekspresi wartawan tv one saat kejagung ungkap korupsi baru mbg,1.0,1.0,0,0,1,0.52,neutral,True,ungkap,korupsi,,,korupsi,
gosah repot antar mbg ke rumahh noh dengerin baek masakan ibunya lbh enak bergizi dan sehari x,4.0,2.0,0,0,0,0.8382,positive,False,"dengerin, masakan, enak, bergizi","gosah, repot",,,,
siapa orang yang disurvey itu gweh tanya anak laper belajar orang tuanya gabisa kasih makan solusinya nyentuh perut lapar anak yang dikasih makan siang kali kapan yaa pemerintah sadar kalau yang harusnya diberantas tuh kemiskinan struktural bahas perut mulu,13.0,10.0,0,0,0,1.0,positive,False,"siapa, tanya, belajar, kasih, makan, solusinya, perut, dikasih, makan, sadar, bahas, perut, mulu","yang, itu, anak, laper, lapar, anak, yang, kalau, yang, kemiskinan",,,,
mbg patut diduga sebagai state capture corruption state capture biasanya diterjemahkan sebagai pencaplokan negara atau pembajakan negara adalah bentuk korupsi sistemik yang jauh lebih berbahaya daripada suap biasa jika korupsi biasa adalah melanggar aturan state,6.5,8.5,1,0,4,0.9671,negative,False,"patut, bentuk, lebih, suap, biasa, biasa","sebagai, sebagai, korupsi, yang, jauh, berbahaya, korupsi, melanggar",lebih,,"negara, negara, korupsi, korupsi",
tyo versi kasarnya di bully adek ini versi santunnya juga dibenci maunya ternak rezim apasih maunya adek ini angguk gitu apa tidak cukup anggota dpr jadi tim angguk,5.0,9.0,0,1,1,1.0,negative,False,"adek, adek, angguk, jadi, angguk","bully, dibenci, maunya, apasih, maunya, apa, cukup, anggota, tim",,tidak,dpr,
wow harga harga di pasar balik normal indahnya hidup tanpa mbg,5.0,2.0,0,0,0,1.0,positive,False,"wow, harga, harga, normal, hidup","balik, tanpa",,,,
nanti kalo udah lolos ptn selama libur aku mau produktif mau diet mau belajar soft skill hard skill belajar pake excel ikut volunteer jadi presiden mendaki gunung lewati lembah,10.0,4.0,0,0,1,1.0,positive,False,"libur, aku, mau, produktif, mau, mau, belajar, belajar, jadi, presiden","nanti, lolos, diet, ikut",,,presiden,
april perempuan tewas di gerbong krl bekasi timur april presiden turun langsung ke rs umuman di depan kamera rp triliun untuk perbaiki perlintasan kereta juni di rapat dpr kemenkeu sampai sekarang saya belum terima masukan yang jelas dari,7.0,5.0,0,1,2,0.8489,positive,False,"tewas, presiden, turun, langsung, rapat, sampai, jelas","kereta, saya, terima, yang, dari",,belum,"presiden, dpr",
jangan sampai salah pilih lagi ingat sakit hati tidak ditanggung bpjs,2.0,5.0,0,2,1,1.0,negative,False,"ingat, hati","sampai, salah, pilih, lagi, sakit",,"jangan, tidak",bpjs,
astro awani dah kenapa jemput mamat rohingya buat temu ramah dah takde orang lain ke nak jemput bangga saat ke dengan mamat rohingya ni baik korang jemput orang asli yang tengah pertahankan hak mereka siap demo dekat putrajaya lagi,10.0,6.0,0,0,0,1.0,positive,False,"buat, temu, ramah, bangga, baik, asli, tengah, pertahankan, siap, dekat","dah, dah, lain, yang, demo, lagi",,,,
korupsi bansos beras di masa pandemi saat orang kelaparan dan tidak bisa bekerja setiap paket bantuan dicatut ribu oleh kader pdip dan setiap kilogram beras yang disalurkan dicatut rupiah partai inisiator revisi uu kpk lewat menkumham dan kader nya di dpr,5.0,4.0,0,1,4,0.7149,positive,False,"bekerja, paket, bantuan, inisiator, lewat","korupsi, pandemi, kelaparan, yang",,tidak,"korupsi, bansos, rupiah, dpr",
dipotong pajak penghasilan dipotong bpjs kesehatan dipotong bpjs ketenagakerjaan dipotong ppn dipotong cicilan rumah kendaraan dipotong tapera kontol kegiatan yang tidak dipajaki pemerintah adalah kalau kita pindah kewarganegaraan,4.0,4.0,0,1,4,0.5814,neutral,True,"kesehatan, rumah, kegiatan, pindah","pajak, kontol, yang, kalau",,tidak,"pajak, bpjs, bpjs, ppn",
gaji dosen universitas negeri dibawah umr yang ditetapkan pemerintah saja uda aneh,1.0,2.0,0,0,0,0.6625,negative,False,aneh,"yang, saja",,,,
bangun tengah malam tuk ibadah diam diam mata ini basah bisa melihatmu tidur lelap sayang membuat aku tetap berjuang tulang punggung rilis tanggal januari di berbagai platform semangat pejuang rupiah,15.0,3.0,0,0,1,1.0,positive,False,"tengah, ibadah, diam, diam, tidur, lelap, sayang, membuat, aku, tetap, berjuang, tulang, rilis, berbagai, semangat","malam, mata, tanggal",,,rupiah,
pria pesugihan sedang coli kekuasaan manusia satu ini bagaikan firaun yang tak tahu malu berwajah badak dan penuh pengkhianatan di masa kepemimpinannya ia bertindak sebagai penjahat lingkungan sekaligus perampok sumber daya alam bangsa ia adalah pemimpin paling bejat,6.5,7.5,1,1,0,0.7021,negative,False,"manusia, satu, malu, penuh, lingkungan, alam","yang, tahu, pengkhianatan, bertindak, sebagai, penjahat, bejat",paling,tak,,
logika berfikirnya sederhana kita harus,1.0,1.0,0,0,0,0.55,neutral,True,sederhana,harus,,,,
penghasilan negara ini dari pajak pajak itu yang bayar rakyat bukan anggota dpr psn tni ato polri tapi ketika rakyat menyampaikan kritik jawabannya apa yang sudah kamu berikan pd negara belum pejabat yang suka ngremehin rakyat heei kalau rakyat berhenti bayar pajak,7.0,11.0,0,2,6,1.0,negative,False,"bayar, anggota, menyampaikan, sudah, pejabat, suka, bayar","dari, pajak, pajak, itu, yang, kritik, apa, yang, yang, kalau, pajak",,"bukan, belum","negara, pajak, pajak, dpr, negara, pajak",
momen denny sumargo gedek jubir pemerintah masih ngotot latiham militer kopdes itu niatnya bagus gema manajer koperasi butuh otak bukan otot m ti baru sadar denny kasih orang seragam militer wajar publik pikir mau perang lovenia itu buat pembentukan karakter bang,12.0,5.0,0,1,0,1.0,positive,False,"bagus, gema, koperasi, otak, otot, sadar, kasih, seragam, wajar, pikir, mau, buat","ngotot, itu, butuh, perang, itu",,bukan,,
prabowo tantang siapapun yang tidak puas silakan tantang saya di oke kita terima tantangannya tapi a uu pemilu harusnya selesai sekarang belum kelar b penyelenggara pemilu dari belum dievaluasi belum direformasi c putusan mk soal pemisahan,5.0,10.0,0,4,0,1.0,negative,False,"silakan, oke, terima, selesai, putusan","tantang, yang, puas, tantang, saya, kelar, dari, direformasi, soal, pemisahan",,"tidak, belum, belum, belum",,
zulhas bela koperasi desa merah putih dari kritik beda sama supermarket buat bansos pkh alat pertanian offtaker gabah petani dan ikan nelayan garis keras kita kerjakan terus ada yang nanya mana buktinya jawabannya dari mulut zulhas sendiri memang belum,6.0,11.0,0,1,1,1.0,negative,False,"koperasi, merah, sama, buat, ada, memang","putih, dari, kritik, beda, garis, keras, yang, nanya, dari, mulut, sendiri",,belum,bansos,
kok bisa ada presiden yang sadar make duit rakyat terus ngerasa bersalah kalo gagal harusnya gagituu,3.0,4.0,0,0,1,0.7294,negative,False,"ada, presiden, sadar","yang, ngerasa, bersalah, gagal",,,presiden,
polisi dipuji sukses ngurus dapur embege soalnya kalo ngurus bandar narkoba judol maling penculikan penyekapan pelecehan penjambretan kehilangan barang masyarakat sipil mereka tidak sukses babar blass,1.0,6.0,0,1,0,1.0,negative,False,sukses,"soalnya, bandar, pelecehan, kehilangan, sukses, babar",,tidak,,
pemerintah jepang lagi mempertimbangkan jlpt mulai tahun depan bisa online dan setahun bisa lebih dari x juga kabar yang sangat baik kalo beneran jadi soalnya sekarang banyak yang mau ujian tapi tidak kebagian quota tonikaku gimana persiapan ujian jlpt untuk minggu ini,13.0,7.0,2,1,0,1.0,positive,False,"mulai, lebih, kabar, sangat, baik, beneran, jadi, banyak, mau, ujian, persiapan, ujian","lagi, mempertimbangkan, dari, yang, soalnya, yang","lebih, sangat",tidak,,
jangan terlalu berharap pada pemerintah,2.5,1.5,1,1,0,0.81,positive,False,"terlalu, berharap",pada,terlalu,jangan,,
demi membiayai mbg kopdes dan world tour,0.0,0.0,0,0,0,0.45,neutral,True,,,,,,
rangkuman berita indo yang gua inget taun ini presiden anti kritik omon ketinggalan jaman mantan presiden kita finalis occrp wapres planga plongo jadi juri lomba ai pula korupsi dimana mana paling tinggi nyentuh kuadrilliun koruptor hukuman nya lemah,5.5,12.5,1,0,3,1.0,negative,False,"presiden, presiden, jadi, tinggi, lemah","berita, indo, yang, gua, taun, anti, kritik, ketinggalan, jaman, mantan, korupsi, hukuman",paling,,"presiden, presiden, korupsi",
silahkan fren cari info tentang mobil ini plat nya sejelas ini polisi mbg ayo kerja jangan masak mulu,6.0,3.0,0,1,0,1.0,positive,False,"silahkan, tentang, mobil, ayo, kerja, mulu","cari, info, masak",,jangan,,
penggembosan demo mahasiswa penolak mbg pemerintah menghalau unjuk rasa yang memprotes makan bergizi gratis dan koperasi desa merah putih menggalang mahasiswa mengumpulkan rektor hingga membuat aksi yang mendukung program prabowo simak bocoran selengkapnya di youtube,11.0,9.0,0,0,2,0.9329,positive,False,"makan, bergizi, gratis, koperasi, merah, mengumpulkan, membuat, aksi, mendukung, simak, selengkapnya","demo, penolak, menghalau, unjuk, rasa, yang, memprotes, putih, yang",,,"mahasiswa, mahasiswa",
prabowo masuk tv korea mtn news korea juni membahas tentang kekhawatiran pasar terhadap kebijakan ekonomi di bawah pemerintahan presiden prabowo subianto yang memicu penarikan modal oleh bank bank global keluar dari indonesia intinya kepercayaan,6.0,5.0,0,0,2,0.7209,positive,False,"membahas, tentang, kebijakan, presiden, modal, kepercayaan","masuk, kekhawatiran, yang, keluar, dari",,,"ekonomi, presiden",
berita di abc news tv australia kepala bgn dadan hindayana dipecat selasa malam rabu siang kepala bgn dan wakilnya ditangkap mbg memakan anggaran sekitar juta dolar australia tapi kasus keracunan makanan sampai puluhan ribu korupsinya manipulasi pengadaan,3.0,5.0,0,0,1,0.8241,negative,False,"juta, makanan, sampai","berita, malam, memakan, keracunan, manipulasi",,,anggaran,
perihal judol jangan lupa buat nyalahin si brengsek ini juga yaa kak,1.0,3.0,0,1,0,0.8133,negative,False,buat,"lupa, nyalahin, brengsek",,jangan,,
orang pinter masuk penjara orang bodoh jadi pemimpin orang dalam jadi komisaris orang miskin wajib pajak,4.0,6.0,0,0,1,0.9263,negative,False,"pinter, jadi, dalam, jadi","masuk, penjara, bodoh, miskin, wajib, pajak",,,pajak,
presiden prabowo mulai bicara dengan nada tinggi di depan rapat kabinet kalian saya tunjuk jadi menteri jangan pernah sekalipun punya pikiran untuk korupsi semua menteri tampak terdiam beberapa di antaranya yang awalnya memegang hp langsung ditaruh karena mendengar nada,10.0,7.0,0,1,5,1.0,positive,False,"presiden, mulai, nada, tinggi, rapat, jadi, punya, tampak, langsung, nada","kabinet, saya, korupsi, semua, yang, memegang, karena",,jangan,"presiden, kabinet, menteri, korupsi, menteri",
when yh pendidikan diprioritasin ama pemerintah,0.0,0.0,0,0,0,0.45,neutral,True,,,,,,
ada yang menarik dari pernyataan prof gama kalau anda mau berhasil ganti the whole masyarakatnya pasti berhasil gimana menurut kalian gaes indonesia itu terkenal dengan sistem kebut semalam mau apapun presidenya apapun proyeknya itu dilakukan sks kalo sekarang pak,10.0,7.0,0,0,0,1.0,positive,False,"ada, menarik, mau, berhasil, ganti, pasti, berhasil, menurut, terkenal, mau","yang, dari, kalau, anda, itu, sistem, itu",,,,
si nenek lampir nanik s deyang akan menyusul dadan hindayana sebentar lagi,1.0,3.0,0,0,0,0.8333,negative,False,menyusul,"nenek, sebentar, lagi",,,,
kalau pemerintah ada dana lebih mending sewa jasa public relations yang bagus daripada sewa buzzer kata saya mah,6.5,4.5,1,0,0,0.9328,positive,False,"ada, dana, lebih, mending, jasa, bagus","kalau, yang, kata, saya",lebih,,,
sayang jika tidak di rtl pecat komisioner komnas perempuan sondang frishka simanjuntak hotman paris meminta presiden prabowo subianto mengevaluasi dan mencopot seorang komisioner perempuan yang menuai kontroversi setelah pernyataannya terkait kasus ytr,3.0,4.0,0,1,1,0.6547,negative,False,"sayang, meminta, presiden","pecat, yang, kontroversi, terkait",,tidak,presiden,
kayaknya aku akan dapet beasiswa s di luar negeri deh gatau kapan dan di mana tapi kayak iya gt bismillah yakin,4.0,3.0,0,0,0,0.6833,positive,False,"aku, dapet, bismillah, yakin","kayaknya, gatau, kayak",,,,
kenapa china bisa maju tekhnologinya karena presiden dan wakil bukan jayen dan soneo,2.0,1.0,0,1,1,0.6577,positive,False,"maju, presiden",karena,,bukan,presiden,
buat yang belum tahu ini kasus paling gila lippo jual apartemen ribuan unit iklan gede gedean banyak yang beli dan cicil uang sudah masuk ke lippo konsumen bayar cash atau kpa bank bangunan tidak jadi mangkrak tower terbengkalai konsumen nagih disuruh sabar tunggu,11.5,7.5,1,2,0,1.0,positive,False,"buat, gila, jual, gede, banyak, beli, sudah, bayar, cash, sabar, tunggu","yang, tahu, unit, yang, masuk, jadi, disuruh",paling,"belum, tidak",,
kesimpulan dirty vote pemilu ini tidak jurdil cawapres langgar etik mk dan kpu cawapres ilegal hrsnya mundur etik lbh tinggi dari hukum klu menang karena curang tidak netral hasil pemilu deligitimasi klu menang jokowi mundur ulang pemilu drpd chaos universitas dll sudah kritik,8.0,8.0,0,2,0,0.503,neutral,True,"kesimpulan, vote, tinggi, hukum, menang, hasil, menang, sudah","ilegal, mundur, dari, karena, curang, mundur, ulang, kritik",,"tidak, tidak",,
setan apbn mbg kopdes subsidi bbm bensin elpiji beras bulog bansos dana desa subsidi listrik subsidi pupuk tujuh aliran uang ini dirampok habis habisan seandainya kamu tahu berapa puluh pupuk subsidi yang dicuri pengusaha besar pasti kaget,10.0,4.0,0,0,7,1.0,positive,False,"subsidi, dana, subsidi, subsidi, habis, tahu, subsidi, besar, pasti, kaget","setan, seandainya, yang, dicuri",,,"apbn, subsidi, bbm, bansos, subsidi, subsidi, subsidi",
pemerintah pangkas bebas visa dari negara jadi negara dengan alasan ingin wisatawan yang lebih berkualitas di hari yang sama a pekerja indonesia kena phk di b airasia stop rute internasional dari indonesia c menko airlangga klaim dunia usaha masih,10.5,7.5,1,0,2,1.0,positive,False,"bebas, jadi, lebih, berkualitas, sama, pekerja, stop, rute, dunia, usaha","dari, alasan, yang, yang, kena, phk, dari",lebih,,"negara, negara",
ada pernyataan prof gama yang tidak kalah menarik saat memberikan saran ke pak media prof gama belio ini pak media orang pinter tapi lagi stress belio ini pak media masih punya harapan kalau saya sudah tidak berharap,7.0,6.0,0,2,0,0.6478,positive,True,"ada, kalah, menarik, saran, pinter, punya, sudah","yang, lagi, stress, kalau, saya, berharap",,"tidak, tidak",,
pantes elu dapet wakil presiden gibran,4.0,0.0,0,0,1,1.0,positive,False,"pantes, elu, dapet, presiden",,,,presiden,
bpjs berpotensi bangkrut karna tidak bisa membayar biaya kesehatan jika defisit di semester kedua tahun ini terus terjadi maka diperkirakan di biaya kesehatan tidak ditanggung bpjs,4.0,2.0,0,2,2,0.8077,positive,False,"membayar, kesehatan, terjadi, kesehatan","bangkrut, defisit",,"tidak, tidak","bpjs, bpjs",
di sidang mk soal kuota internet hangus ahli dari pemerintah bilang hubungan konsumen dan operator itu substansial seimbang hakim mk langsung tanya substansial kenapa ada permohonan hari ini kalau begitu jawaban ahli pemerintah kalau ada kuota berlebih sesungguhnya,14.0,9.0,0,0,0,1.0,positive,False,"sidang, ahli, hubungan, substansial, seimbang, langsung, tanya, substansial, ada, jawaban, ahli, ada, berlebih, sesungguhnya","soal, kuota, hangus, dari, itu, permohonan, kalau, kalau, kuota",,,,
dua hari ini saya habiskan untuk menganalisis tahun data pasar keuangan indonesia pertanyaannya simpel mana yang duluan jatuh ihsg atau rupiah jawabannya menarik,5.0,3.0,0,0,1,0.857,positive,False,"dua, simpel, duluan, jatuh, menarik","saya, data, yang",,,rupiah,
anak pki tidak sekolah,0.0,2.0,0,1,0,0.855,negative,False,,"anak, sekolah",,tidak,,
pendapat pandji soal vonis nadiem makari semua argumen nadiem seharusnya membuatnya bebas tidak masuk akal dinyatakan bersalah pola menakutkan tom lembong ira nadiem rifa niko semua profesional semua non partai orang partai terganggu karena pos kementerian,3.0,11.0,0,1,0,1.0,negative,False,"bebas, masuk, pola","pendapat, soal, semua, argumen, bersalah, menakutkan, ira, semua, semua, terganggu, karena",,tidak,,
anggota dpr baru saja bongkar anggaran pelatihan kopdes rp juta pelatihan militer rp juta belajar koperasi orang rp juta hari total peserta total anggaran triliun efisiensi anggaran ndasmu,5.0,4.0,0,0,5,0.7804,positive,False,"juta, juta, belajar, koperasi, juta","anggota, saja, bongkar, peserta",,,"dpr, anggaran, anggaran, efisiensi, anggaran",
guys prof feri latuhihin ekonom yang sudah setahun lalu memprediksi dolar akan tembus rp ketika belum ada yang percaya baru bicara lagi dan kali ini lebih keras lebih konkret dan lebih mengerikan dari sebelumnya saya mau rangkum dan kritisi semuanya termasuk,14.5,9.5,3,1,0,1.0,positive,False,"guys, sudah, lalu, memprediksi, tembus, percaya, lebih, lebih, konkret, lebih, mengerikan, mau, semuanya","yang, ada, yang, lagi, keras, dari, saya, termasuk","lebih, lebih, lebih",belum,,
pernyataan hakim mk pak said isra dan pak asrul sani bikin terharu banyak pihak yang mendukung gugatan ini lebih banyak dari barisan di foto ini bahkan sebagian ahli dari pemerintah cenderung mendukung gugatan terima kasih buat yang diem diem dukung atau mendoakan,14.5,8.5,1,0,0,1.0,positive,False,"sani, banyak, mendukung, lebih, banyak, foto, ahli, mendukung, terima, kasih, buat, diem, diem, dukung","pihak, yang, gugatan, dari, dari, cenderung, gugatan, yang",lebih,,,
danantara dapat hutangan di singapore jaminannya agunannya semua bumn kalau tidak bisa kembalikan hutang maka semua aset bumn beralih ke singapore dengan harga dibawah pasar ini telkomsel jilid,2.0,6.0,0,1,1,1.0,negative,False,"dapat, harga","semua, kalau, hutang, semua, beralih, jilid",,tidak,danantara,
kejagung baru saja spill tersangka baru dalam kasus korupsi mbg tni kolonel terlibat atur pengadaan sepeda motor polisi aktif lmi tersangka paksa mitra beli food tray lewat perusahaan titipan ada fee untuk disetujui ditahan hari di rutan salemba tni diserahkan,9.0,5.0,0,0,1,1.0,positive,False,"dalam, terlibat, atur, aktif, mitra, beli, lewat, perusahaan, ada","saja, tersangka, korupsi, tersangka, paksa",,,korupsi,
program latihan kopdes memakai apbn dimana per orang juta rupiah bos pulang dari latihan full yel yel,2.0,3.0,0,0,2,0.7135,negative,False,"juta, bos","latihan, dari, latihan",,,"apbn, rupiah",
momen menteri pertanian di skakmat rektor rektor bapak sudah tahun jadi menteri kenapa baru sekarang ngomongin swasembada pangan rektor kemarin kemarin kemana rektor kenapa baru tahun terakhir kenapa waktu prabowo menjabat amran kalau mau sukses lihat ke,6.0,2.0,0,0,2,1.0,positive,False,"sudah, jadi, swasembada, mau, sukses, lihat","ngomongin, kalau",,,"menteri, menteri",
sumber masalah itu bernama mbg,1.0,2.0,0,0,0,0.75,negative,False,bernama,"masalah, itu",,,,
my hot take is pemerintah harusnya bangun jaringan krl lebih luas lagi instead of tolls highways or mrt no shade but i think mrt terlalu mahal,5.0,4.0,2,0,0,0.7465,positive,False,"jaringan, lebih, luas, mahal","hot, lagi, terlalu","lebih, terlalu",,,
tragis benar nasib iran di piala dunia sebelum kompetisi banyak berurusan dengan soal politik masalah penolakan visa banyak mengalami kekacauan logistik alokasi tiket untuk pendukungnya banyak dicabut saat kompetisi mengalami diskriminasi lokasi main di us tapi,10.0,7.0,0,0,1,1.0,positive,False,"benar, nasib, piala, dunia, banyak, banyak, mengalami, banyak, mengalami, main","tragis, soal, politik, masalah, penolakan, kekacauan, diskriminasi",,,politik,
duh komdigi lagi akun instagram cabinetcouture_id yang dikenal sering membedah harga pakaian tas jam tangan hingga berbagai barang mewah milik pejabat dan keluarga pejabat indonesia dikabarkan telah diblokir di indonesia oleh kementerian komunikasi dan digital,8.0,5.0,0,0,0,0.9903,positive,False,"sering, harga, tangan, berbagai, mewah, milik, keluarga, komunikasi","duh, lagi, yang, pejabat, pejabat",,,,
pertamina bilang harga asli pertalite rp liter lo cuma bayar rp selisih rp ditanggung pemerintah alias ditanggung pajak lo kedengarannya heroik sampai lo baca data bps rumah tangga terkaya indonesia mengonsumsi dari seluruh pertalite,7.0,6.0,0,0,1,0.7156,positive,False,"harga, asli, bayar, heroik, sampai, baca, rumah","cuma, selisih, pajak, data, mengonsumsi, dari",,,pajak,
kalau ada mbg uangnya ada untuk pendidikan gratis s tidak ada ya karena kalian salah pilih orang,4.0,5.0,0,1,0,0.7124,negative,False,"ada, ada, gratis, ya","kalau, ada, karena, salah, pilih",,tidak,,
masyarakat puas dengan mbg tapi nyatanya anak justru menjadi korban keracunan massal kasus korupsi anggaran mulai terkuak intervensi partai politik di pusaran proyek kian kental bahkan polisi dan tni ikut sibuk membangun sppg di saat bersamaan akses jalan,4.0,8.0,0,0,3,1.0,negative,False,"puas, mulai, sibuk, akses","anak, korban, keracunan, korupsi, terkuak, politik, kental, ikut",,,"korupsi, anggaran, politik",
lagi dan lagi intel keciduk di demo bem ui juni dikutip dari akun marianorberthaa di threads sebetulnya waktu demo bem ui tgl juni kemarin saya sempet videoin salah satu bapak yang mencurigakan dia foto fotoin kondisi demo tapi anehnya foto langsung beberapa orang,5.0,12.0,0,0,0,1.0,negative,False,"sebetulnya, satu, foto, foto, langsung","lagi, lagi, demo, dari, demo, saya, salah, yang, mencurigakan, dia, demo, anehnya",,,,
kenapa sih jika guru dan dosen meminta hak kesejahteraannya sepertinya berat sekali dipenuhi ada saja alasan pembenaran dan penolakannya mulai dari alasan moral hingga anggaran saya tidak berbicara pada level guru atau dosen yang berstatus asn saja swasta pun demikian,8.5,12.5,1,1,1,1.0,negative,False,"guru, meminta, ada, mulai, moral, berbicara, guru, berstatus","sepertinya, berat, sekali, saja, alasan, dari, alasan, saya, pada, yang, saja, pun",sekali,tidak,anggaran,
ketua dpr komisi bingung dengan framing media asing yang bilang indonesia menuju kehancuran karna pdahal ekonomi indonesia baik baik saja fundamental kita kuat ihsg bukan cerminan sebuah negara media sosial digambarkan seakan mau bangkrut padahal fundamental kuat,7.0,10.0,0,1,4,1.0,negative,False,"komisi, baik, baik, kuat, sosial, mau, kuat","bingung, asing, yang, menuju, kehancuran, saja, fundamental, cerminan, bangkrut, fundamental",,bukan,"dpr, ekonomi, negara, sosial",
ada beberapa poin menarik yang bikin investor dan bank asing mempertimbangkan kabur peran danantara terlalu besar mereka kekhawatir danatara jadi alat negara untuk dorong pembiayaan proyek proyek prioritas pemerintah rupiah terus melemah bikin mereka makin kurang tertarik,8.0,8.0,2,0,3,0.6781,neutral,False,"ada, poin, menarik, besar, jadi, makin, tertarik","yang, asing, mempertimbangkan, kabur, terlalu, melemah, kurang","terlalu, makin",,"danantara, negara, rupiah",
lagi rame warga lampung timur menolak bayar pajak daripada bayar pajak duitnya bangun jalan jalan rusak parah dan sudah lama tidak diperbaiki sudah lama menunggu selalu janji janji manis tapi perbaikan jalan tak kunjung datang dari pemerintah daerah warga memilih,10.0,11.0,0,2,2,0.7312,negative,False,"rame, bayar, bayar, rusak, sudah, sudah, janji, janji, manis, perbaikan","lagi, menolak, pajak, pajak, parah, lama, lama, menunggu, kunjung, datang, dari",,"tidak, tak","pajak, pajak",
temen temen juga bisa lohh cek beasiswa mana yang mitra available sama kampus kalian caranya ke google ketik saja beasiswa kampus kalian nanti muncul deh diarahin ke web kampus kalian ini aku ambil contoh undip ub uny sama kampusku,6.0,5.0,0,0,3,0.7305,positive,False,"mitra, sama, muncul, aku, contoh, sama","cek, yang, saja, nanti, ambil",,,"kampus, kampus, kampus",
mendikti minta ptn tinjau ulang ukt camaba yang tak daftar ulang ada kabar baik dari dikti menteri pendidikan tinggi bukan eks sheila on meminta perguruan tinggi negeri ptn meninjau kembali penetapan ukt bagi calon mahasiswa baru camaba yang sudah lulus seleksi tapi,11.0,7.0,0,2,4,1.0,positive,False,"minta, ada, kabar, baik, tinggi, eks, meminta, tinggi, bagi, sudah, lulus","ulang, yang, daftar, ulang, dari, kembali, yang",,"tak, bukan","ukt, menteri, ukt, mahasiswa",
saya punya joke tentang pemerintah tapi takut kalah lucu dibanding pemerintahnya sendiri,4.0,3.0,0,0,0,0.7458,positive,False,"punya, tentang, takut, lucu","saya, kalah, sendiri",,,,
heran banget sama orang yang belain ini orang yang jelas koruptor buzzer dia ada dimana njir padahal dari awal pengadaan saja seorang machfud md udah nyium ada tindak pidana korupsi ngapain ngasihanin koruptor,7.5,9.5,1,0,1,0.9288,negative,False,"heran, banget, sama, jelas, ada, awal, ada","yang, belain, yang, dia, njir, dari, saja, pidana, korupsi",banget,,korupsi,
seru nih podcast denny sumargo dimana pendukung program pemerintah membela program yang jadi bahan olok olok netizen bahkan diberitakan negara tetangga,3.0,5.0,0,0,1,0.8652,negative,False,"seru, pendukung, jadi","membela, yang, bahan, olok, olok",,,negara,
idol kpop tidak smuanya problematik ada juga yang ngasih beasiswa ke orang pintar tetapi tidak mampu dan salahsatunya ada yang berhijab keren banget taeyong nct,6.5,3.5,1,2,0,0.99,positive,False,"ada, ngasih, pintar, ada, keren, banget","yang, mampu, yang",banget,"tidak, tidak",,
momen dpr cecar pln soal seringnya mati lampu bambang golkar pak dirut jakarta mati lampu hampir tiap hari kami sampe rapat komisi saja kena ini kenapa darmawan dirut pln cuaca ekstrem pak plus beban dari data center bambang alasan cuaca tiap tahun sama warga,8.0,9.0,0,0,1,0.7166,negative,False,"mati, lampu, mati, lampu, rapat, komisi, plus, sama","soal, hampir, saja, kena, ekstrem, beban, dari, data, alasan",,,dpr,
saya beneran penasaran kenapa polisi dipuji karna bangun sppg kenapa itu pencapaian,1.0,3.0,0,0,0,0.8333,negative,False,beneran,"saya, penasaran, itu",,,,
